Device, SerialNo, Battery Level, Measure Date Time, Temperature
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-01-27T11:05:22, 36.7
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-01-28T07:42:36, 36.1
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-01-28T08:30:43, 36.5
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-01-29T07:23:05, 36.2
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-01-30T07:21:27, 36.4
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-01-31T07:50:27, 35.6
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-01-31T07:51:48, 36.2
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-01T07:21:18, 35.6
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-01T07:22:18, 35.9
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-02T07:20:29, 36.2
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-03T07:47:12, 36.9
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-03T07:48:07, 36.9
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-04T08:39:10, 37.4
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 40, 2021-02-05T06:58:23, 34.8
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-05T07:00:28, 36.1
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-05T07:02:14, 35.6
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-07T08:37:42, 36.7
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-08T07:10:33, 36.9
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-09T07:13:41, 35.6
A137DF75-DABD-48F7-AAA2-68DF13B7D24B, 5171000182, 100, 2021-02-10T07:11:28, 35.4
