Device, Measure Date Time, Exist
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:34:23, false
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:35:23, false
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:36:23, false
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:37:23, false
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:38:23, false
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:39:23, false
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:40:23, false
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:41:23, false
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:42:23, false
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:43:23, false
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:44:04, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:45:08, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:46:08, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:47:23, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:48:36, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:49:39, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:50:43, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:51:48, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:52:59, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:54:10, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:55:14, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:56:21, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:57:38, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:58:38, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T00:59:40, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:00:44, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:01:48, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:02:58, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:04:09, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:05:27, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:06:34, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:07:40, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:08:51, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:09:55, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:11:12, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:12:15, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:13:21, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:14:37, true
52DF927C-D4E2-459C-B49D-45FFF9F4FE76, 2021-04-16T01:15:50, true
